idVenda,preco_receita,preco_tabelado,Funcionario_idFuncionario,Cliente_idCliente,balcao,data_venda
1,7.90,7.90,1,1,1,2021-11-05
2,4.49,4.49,3,21,2,2021-11-05
3,10.69,21.39,2,15,3,2021-11-05
4,3.33,3.33,1,2,1,2021-10-20
5,7.78,7.78,2,20,2,2021-10-21
6,5.83,5.83,1,11,3,2021-01-20
7,15.52,15.52,3,15,1,2021-10-20
8,4.79,4.79,1,2,3,2021-02-01
9,8.34,12.56,3,11,1,2021-12-01
10,4.99,16.78,2,9,2,2021-10-20
11,21.04,50.99,3,19,1,2021-11-03
12,26.42,26.42,2,25,3,2021-03-03
13,13.31,13.75,1,15,1,2020-11-03
14,17.84,17.84,1,11,3,2021-02-03
15,30.24,34.70,2,21,2,2021-11-03
16,25.41,44.57,1,22,1,2021-11-03
17,34.53,34.53,3,24,3,2021-07-04
18,12.43,12.43,1,3,2,2021-07-04
19,8.94,16.87,3,19,2,2021-01-04
20,15.62,45.24,1,3,3,2021-07-04
21,4.96,8.75,2,25,1,2021-07-04
22,7.56,19.75,1,20,3,2021-06-05
23,4.54,6.89,2,2,2,2021-08-11
24,9.65,9.65,3,12,1,2021-07-12
25,17.32,22.21,2,2,2,2021-02-11
26,3.21,3.21,1,1,2,2021-02-13
27,21.90,25.99,2,10,2,2021-11-12
28,9.21,17.76,1,10,3,2021-01-21
29,8.32,8.32,2,24,1,2021-12-11
30,45.54,72.21,2,24,1,2021-03-30
31,11.65,11.65,1,21,3,2021-01-01
32,8.91,8.95,1,17,2,2021-05-11
33,16.84,16.99,1,12,2,2021-11-11
34,5.40,5.40,1,17,3,2021-05-11
35,6.32,7.40,1,17,4,2021-04-12
36,7.32,7.32,1,14,2,2021-12-31
37,36.77,36.80,1,2,2,2021-05-11
38,3.89,3.89,1,20,3,2021-02-27
39,9.91,9.91,1,1,2,2021-05-11
40,17.58,23.49,1,17,2,2021-01-13
41,0.00,0.00,1,12,1,2021-12-02
